specimen_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P60568	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
1037	270.11512	418.38428	1.04209	147.59199	4.85436	7.51801	14.09968	0.24685	0.18888	64.09395	612.30272	0.22704	0.01867	3.35135	109.89887	104.51201	5.50083	4.75453	1.02648	60.14804	306.54563	0.98521	158.77622	311.38261	6.52173	0.77971	156.27033	12.46374	114.99617	92.30821	416.19717	272.08311	0.02466	52.14074	6.06695	1.42618	43.12286	331.70751	0.22489	9.34969	1.21399	0.6343	371.30932	133.48164	14.82497
1310	486.14634	387.75619	0.23073	71.04518	7.28856	10.40701	15.5449	0.28654	0.1788	95.15041	390.33554	0.10747	0.0352	1.21339	137.91494	136.55798	6.62217	3.96101	0.80982	49.13279	497.43675	2.01554	105.39126	185.30547	5.22083	1.20506	318.09665	12.69682	159.47532	139.60066	389.15664	408.17318	0.02942	153.91095	74.41782	2.03964	43.64601	214.17344	0.50843	9.26488	0.03286	1.48857	677.65814	115.6623	20.637
1269	261.34935	312.57392	0.03339	54.17054	3.79539	6.05707	10.55909	0.21193	0.17768	46.33086	516.75002	0.12543	0.01605	0.91323	117.34411	79.22716	5.82598	3.1013	0.43217	52.01503	330.38953	0.98098	74.3013	170.78878	9.47428	0.07534	238.13898	14.17583	132.29116	104.17041	428.39232	197.68989	0.01328	42.37145	53.2673	1.20652	32.90702	158.30289	0.0085	5.42598	NA	0.25985	216.75228	62.55419	7.77657
1181	271.81634	354.38319	0.10796	91.96664	4.16559	9.96542	14.56689	0.17331	0.07855	43.8511	617.99986	0.29887	0.01927	0.94327	104.3333	77.38826	8.89807	3.09263	1.30431	45.59027	287.93127	1.88542	102.86219	242.25606	10.91187	0.22704	326.28722	11.94996	125.58486	85.48504	383.31861	374.66678	0.00456	144.79563	37.62059	1.2851	67.44418	272.93269	0.9486	6.88772	NA	1.34997	488.77309	124.98883	48.63148
1300	251.5543	326.57968	0.08699	58.13492	4.76759	10.11481	13.96289	0.42503	0.06517	90.36359	448.27565	0.13069	0.01506	1.47892	143.99309	64.41028	3.20461	6.6226	0.45361	85.81955	497.39618	0.95284	92.51881	212.98474	6.81921	0.14972	212.82052	18.14949	99.75231	105.95664	515.22326	221.04313	0.0111	53.48277	40.06471	1.91566	59.00078	230.81047	0.02571	13.60642	NA	0.52736	203.52226	85.9706	23.31227
1205	588.26794	390.5804	0.02254	126.99977	4.13747	7.52096	17.05238	0.21942	0.16611	53.33388	858.82234	0.31786	0.0161	1.62305	126.99006	104.05231	7.27193	3.70115	0.92148	45.79946	395.28359	0.42874	116.65175	244.38427	8.86141	0.15087	421.17397	18.2008	162.16349	113.31684	438.50781	230.26337	0.00991	26.10219	39.28525	2.49201	62.15189	244.38221	0.47202	8.91595	0.12123	0.39692	847.05463	124.08741	13.69475
1108	205.88856	358.72244	0.05581	78.91893	3.27293	9.9142	13.71882	0.7857	0.0557	121.18699	411.86797	0.13342	0.01882	2.31609	128.17964	86.17573	5.24636	4.95436	1.75589	41.74543	321.41455	0.87888	129.67634	203.9099	7.55616	0.12094	233.47624	13.35373	183.42635	72.65456	566.76141	96.27666	0.0044	67.19396	8.19631	0.43463	60.08103	290.65507	0.37568	10.53891	0.03828	1.29715	114.42544	87.37648	24.80891
1351	450.98092	394.62784	0.3418	91.03292	3.33443	5.64855	11.6108	0.37563	0.26684	92.22715	393.5869	0.32419	0.01823	1.56738	127.98965	75.68239	5.99428	5.91452	0.71934	56.0034	383.10235	0.34639	68.99548	149.62999	7.21276	0.38655	97.5077	17.5413	140.54039	95.41175	388.91349	220.00067	0.04809	33.04602	25.68763	1.50419	42.7446	181.27636	0.0543	5.74223	0.19452	0.58229	231.07712	48.68584	11.41186
1183	528.52692	399.10111	0.02026	208.14871	4.1887	7.90978	14.06405	0.35614	0.39856	83.36381	365.17892	0.41919	0.01423	0.98977	120.37063	110.42078	7.68433	3.61368	1.32089	53.18409	321.59712	0.79412	115.17802	307.22832	8.4355	0.11375	319.23139	12.58324	113.63089	112.70071	464.69047	367.16475	0.01167	62.61214	46.01045	2.56243	273.35595	420.70722	0.67586	5.7244	0.02694	1.82262	599.02523	165.43767	26.93224
1234	411.30473	327.17931	0.15288	53.96747	4.48979	9.1791	14.90426	0.27152	0.16626	104.75498	430.84619	0.32718	0.01782	3.43953	142.39801	149.92618	10.49756	4.22518	1.12278	42.584	366.47355	1.2019	126.32132	281.18805	7.03197	0.11899	340.24186	15.16846	110.44938	87.6593	377.51575	324.79443	0.01333	80.46401	51.23423	2.96428	67.47008	332.04711	0.34427	2.24438	NA	1.14071	299.855	83.36156	20.28021
1226	241.94699	317.32654	0.05647	131.21723	4.12271	3.64804	6.52506	0.13542	0.07609	39.57691	464.23043	0.05406	0.01905	0.99353	98.30538	105.81651	4.6088	255.16495	0.93639	50.78777	292.55766	1.68083	106.0722	128.6199	2.84239	0.12378	139.05888	10.64654	179.65673	91.49245	329.60744	314.62047	0.00813	79.17056	41.66422	0.87748	26.48852	186.46935	0.10543	4.60213	0.01566	0.36838	322.66947	59.0168	24.52444
1195	269.87204	392.92382	0.02673	52.97581	3.33747	5.52361	10.01732	0.12375	0.1059	40.22448	221.96996	0.10578	0.0115	0.66697	103.28521	55.12016	6.70478	6.03225	2.13769	59.04676	409.39605	0.68425	118.45471	181.42834	3.91782	0.05398	183.72496	16.53338	126.69922	96.33903	319.56921	293.28252	0.00528	53.18743	55.80205	1.51573	29.94556	247.1807	0.05752	3.61586	0.00588	1.10145	746.51437	81.62275	14.54647
1174	263.91221	476.86728	0.0239	37.18095	3.54575	7.91155	13.58989	0.16558	0.28813	44.31608	207.34769	0.20261	0.01446	0.68577	128.44529	81.80854	4.58052	3.34819	0.85045	51.55198	405.46663	0.54598	107.21025	175.59047	5.50259	1.82835	188.29629	18.61675	139.25519	121.10899	397.61644	308.11584	0.01216	48.47711	27.85693	1.08342	39.40806	226.14193	0.32943	2.75132	0.22522	6.37596	892.39561	188.66554	8.7893
1248	725.21277	615.54343	0.02596	162.43656	9.10817	12.69625	22.52663	0.51951	0.38098	128.2157	1741.71471	0.39345	0.0164	1.25782	159.27081	257.69979	8.26191	5.76203	1.07794	88.99515	613.72888	1.26511	142.32801	293.04877	22.07811	0.35433	362.95054	29.28373	225.8066	168.24825	656.73812	285.58623	0.01129	73.6195	54.87102	2.18382	67.74543	281.68017	0.83149	13.03111	0.22235	1.97222	418.63942	141.76627	20.04315
1045	1190.60709	549.22707	0.17139	444.86956	4.10347	10.64232	28.36571	2.07632	0.42336	435.06196	186.16294	0.3016	0.01849	8.51369	152.74022	248.44982	7.67607	7.49592	1.92269	79.54218	334.94922	0.93294	175.88539	259.72567	13.19406	0.16266	247.45669	17.3021	146.13686	103.5208	844.38983	180.5237	0.00974	39.64881	46.17957	4.44423	170.91054	509.5524	0.37014	21.81811	0.28481	2.19338	388.71609	203.18561	14.08373
1307	589.93231	498.22689	0.07876	57.8433	6.49806	14.64085	13.88535	0.40592	0.12521	113.31961	394.33351	0.2982	0.0239	2.37943	163.01631	150.05184	8.83231	4.13004	0.8582	59.47897	547.0507	2.05966	108.59374	212.13561	6.88777	1.12973	337.67311	15.71422	218.15849	162.88826	477.26949	419.63149	0.05501	144.83023	81.46034	2.31516	70.59681	271.38712	0.68559	10.53147	0.01645	1.46856	820.48625	140.03811	11.60564
976	311.17611	306.93487	0.0811	54.11026	7.92165	12.40773	17.00814	0.32335	0.09784	70.33373	475.61848	0.17438	0.01803	0.8736	131.90211	72.48717	10.15588	3.90774	0.89068	36.93031	365.43526	1.62433	118.85635	240.43124	4.87147	0.27295	214.3744	11.59151	165.01125	151.69291	291.39227	281.74419	0.01749	155.79106	17.12031	1.58626	81.86565	272.69508	0.57394	6.54493	0.05771	0.5617	257.57707	89.89198	14.28817
1299	256.10638	301.19546	0.11509	54.08883	5.08812	11.61209	9.53365	0.40572	0.10859	102.47419	516.78988	0.13385	0.0137	1.31286	144.82283	57.37999	3.53877	5.42005	0.2868	69.7247	467.81705	1.09283	79.10432	188.9866	5.8559	0.1745	202.91741	15.5056	76.07339	112.27219	513.08505	204.78906	0.01475	53.01691	37.52818	1.96464	47.93638	208.0946	0.01089	6.20267	NA	0.40262	193.46799	84.30054	13.91826
